theta,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.303,0.849110073,20.71158885,0.88708333,691.8095081,0.698123096,8.22E-14,2.17E-15,7.36E-14
0.302,0.846138239,20.73632641,0.886957159,691.7851636,0.698074019,-1.94E-14,-1.46E-13,6.94E-14
0.301,0.843223481,20.76144077,0.886833457,691.7602093,0.698031726,-1.30E-13,-7.07E-14,7.77E-14
0.3,0.840365223,20.78693537,0.886712224,691.7346419,0.69799623,2.10E-17,-6.36E-19,8.96E-14
0.298,0.834815937,20.83907926,0.88647716,691.681654,0.697945695,2.95E-14,1.49E-14,7.61E-13
0.296,0.829487932,20.89056528,0.886251966,691.5797266,0.698609517,5.33E-10,3.98E-08,4.98E-12
0.294,0.824370823,20.94808697,0.886036604,691.5681632,0.697926946,-5.95E-13,-2.98E-16,7.08E-15
0.292,0.819466407,21.00501081,0.885831081,691.5075987,0.697959017,-6.96E-17,-1.41E-15,1.29E-12
0.29,0.81481367,21.07435536,0.88563537,691.6669041,0.694736966,-9.96E-10,-1.90E-07,-5.66E-15
0.288,0.810273181,21.12385637,0.885449443,691.3786686,0.698106777,-1.28E-13,-2.07E-13,-2.64E-15
0.286,0.805976394,21.18584463,0.885273272,691.3102335,0.698222771,-5.66E-13,-3.49E-13,2.10E-12
0.284,0.801874327,21.24958956,0.885106823,691.2391023,0.698367059,2.05E-15,-1.21E-14,2.44E-12
0.282,0.797963213,21.31512757,0.884950059,691.1652376,0.698539788,8.18E-14,1.84E-15,2.85E-12
0.28,0.794239364,21.3824964,0.884802937,691.0885988,0.698741129,-2.52E-13,-2.89E-15,3.29E-12
0.278,0.790699169,21.45173524,0.884665411,691.0091442,0.698971253,1.99E-16,8.18E-17,3.79E-12
0.276,0.787339085,21.52288479,0.884537431,690.9268302,0.699230336,2.97E-15,6.77E-18,4.36E-12
0.274,0.784155633,21.59598756,0.884418942,690.8416158,0.699518492,1.50E-14,-3.65E-12,5.01E-12
0.272,0.781145396,21.67108689,0.884309883,690.7534403,0.6998361,-1.52E-14,-2.37E-14,5.74E-12
0.27,0.77830501,21.74822919,0.884210192,690.6622677,0.700183159,2.62E-14,-8.11E-15,6.55E-12
0.268,0.775631163,21.82746188,0.884119798,690.568042,0.700559928,-1.02E-17,-2.97E-18,7.46E-12
0.266,0.773120584,21.90883505,0.88403863,690.4707197,0.700966469,-2.31E-11,-8.01E-12,8.47E-12
0.264,0.770770043,21.99239907,0.88396661,690.3702139,0.701403419,-3.10E-15,-6.94E-15,-2.89E-15
0.262,0.768576346,22.07820924,0.883903653,690.2664968,0.701870564,-2.98E-15,-4.94E-14,4.83E-15
0.26,0.766536322,22.1663214,0.883849674,690.1594968,0.702368274,-2.67E-16,2.57E-16,1.61E-15
0.258,0.764646828,22.25679432,0.883804578,690.0491501,0.702896777,-4.20E-19,-1.47E-18,8.50E-16
0.256,0.762904736,22.34968944,0.883768269,689.9353897,0.703456311,-1.54E-14,1.33E-14,-8.43E-16
0.254,0.761306929,22.44507097,0.883740644,689.8181459,0.704047125,2.69E-17,-3.02E-19,3.13E-15
0.252,0.759850296,22.5430061,0.883721594,689.6973453,0.704669474,-6.35E-17,-1.69E-18,3.36E-15
0.25,0.758531725,22.64356516,0.883711007,689.5729116,0.705323623,-8.96E-16,-2.89E-16,-7.84E-16
0.248,0.757348097,22.74682185,0.883708763,689.4447645,0.706009846,-1.11E-13,-6.85E-17,-4.13E-15
0.246,0.756296279,22.85285342,0.883714739,689.3128201,0.70672843,-1.69E-15,-5.28E-16,-2.58E-15
0.244,0.755373121,22.96174093,0.883728803,689.1769904,0.70747967,1.11E-16,-3.92E-19,-3.95E-15
0.242,0.754575441,23.07356949,0.88375082,689.037183,0.708263873,-1.48E-15,-2.80E-14,-7.63E-17
0.24,0.753900026,23.18842849,0.883780648,688.8933009,0.70908136,-3.21E-14,2.84E-16,-3.75E-15
0.238,0.753343623,23.30641197,0.883818138,688.7452426,0.709932463,1.90E-14,5.63E-15,-4.61E-15
0.236,0.752902926,23.42761886,0.883863137,688.592901,0.710817527,-5.30E-17,-6.24E-15,-1.32E-16
0.234,0.752574575,23.55215337,0.883915484,688.4361634,0.711736915,3.03E-14,9.46E-14,1.68E-15
0.232,0.752355145,23.68012537,0.88397501,688.2749121,0.712690998,-9.00E-16,1.19E-14,-3.39E-15
0.23,0.752241137,23.81165109,0.884041542,688.1090223,0.713680166,8.38E-16,-2.94E-16,3.05E-16
0.228,0.752228967,23.94685215,0.884114897,687.938362,0.714704839,-6.87E-18,2.48E-17,-5.51E-15
0.226,0.752314964,24.08585826,0.884194886,687.7627931,0.715765437,3.51E-15,3.73E-17,1.11E-15
0.224,0.687660066,30.48126509,0.880520402,681.11232,0.722227668,-5.75E-09,-3.80E-09,-6.14E-13
